user_id,QoS_bandwidth,QoS_packet-loss,QoS_delay,QoS_jitter,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,V_content,V_complexity-class,QoD_model,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
136,4096,0,0.292,0.047,360,235,30,2,1345,5,1,0,4,1,31,5,4,3,3,3,3
56,3584,0,0.312,0.049,360,633,25,1,1350,3,2,2,6,1,27,5,3,5,4,4,4
10,4096,0,0.444,0.049,360,474,25,2,1350,4,1,0,3,0,25,5,3,5,4,5,4
34,4096,0,0.477,0.05,360,300,30,1,1351,2,1,0,3,1,26,5,4,5,4,5,4
71,4608,0,0.435,0.049,360,396,25,1,1367,3,1,0,2,1,20,5,3,5,4,2,3
91,3584,0,0.377,0.056,360,195,24,1,1368,2,1,0,4,1,21,5,4,5,4,4,4
34,3584,0,0.322,0.055,360,392,30,1,1371,2,1,0,6,1,26,5,2,4,3,2,3
59,4096,0,0.334,0.065,360,393,30,2,1371,3,1,0,6,1,31,5,4,5,2,3,4
93,2048,0,0.339,0.035,360,217,30,1,1385,3,1,0,5,0,19,5,4,5,4,4,4
21,1536,0,0.301,0.037,360,196,24,2,1386,4,1,0,3,0,27,5,5,5,5,5,5
40,2048,0,0.438,0.04,360,607,25,1,1388,5,1,0,2,1,21,5,4,5,4,4,4
19,2048,0,0.408,0.033,360,654,25,2,1389,5,1,0,2,1,27,5,3,4,3,4,3
59,4096,0,0.496,0.116,360,733,25,1,1398,3,2,2,6,1,31,5,4,4,3,1,3
80,4096,0,0.307,0.049,360,721,25,1,1402,3,2,2,6,1,21,5,3,5,4,4,4
17,2048,0,0.48,0.074,360,400,30,2,1403,4,1,0,3,1,39,5,4,4,4,3,4
69,2048,0,0.469,0.066,360,471,25,1,1404,2,1,0,2,1,21,5,4,5,4,4,4
23,1536,0,0.37,0.035,360,396,25,1,1404,4,1,0,3,1,27,5,3,5,3,4,4
79,4608,0,0.328,0.039,360,704,25,1,1405,3,2,2,6,1,25,5,3,5,4,4,4
37,1536,0,0.303,0.065,360,464,25,1,1406,5,1,0,2,1,21,5,4,5,5,5,5
28,3584,0,0.33,0.052,360,392,30,1,1413,2,2,2,3,0,28,5,4,5,4,4,4
45,2048,0,0.505,0.051,360,472,25,1,1415,3,1,0,2,1,23,5,4,5,5,5,5
137,2048,0,0.303,0.065,360,391,30,1,1418,5,1,0,5,1,26,5,5,5,4,4,4
124,2048,0,0.416,0.07,360,587,25,2,1421,4,1,0,5,1,30,5,4,5,4,3,4
161,2048,0,0.305,0.061,360,75,8,1,1431,4,1,0,1,0,45,4,3,3,1,2,1
92,4096,0,0.407,0.063,240,314,24,1,1431,5,2,2,4,1,25,5,4,5,4,3,3
32,1536,0,0.534,0.053,360,491,25,1,1437,5,1,0,3,0,37,5,5,5,5,4,5
145,4608,0,0.495,0.043,360,1719,30,2,1438,5,2,2,3,1,25,4,5,3,4,3,4
21,4608,0,0.344,0.049,360,454,25,1,1447,2,2,2,6,0,27,5,2,5,5,5,5
162,4608,0,0.39,0.059,360,150,30,1,1448,5,2,2,1,0,50,4,4,5,4,5,4
80,1024,0,0.328,0.052,360,523,25,1,1449,3,1,0,6,1,21,5,2,5,4,4,3
5,4096,0,0.465,0.032,360,578,30,1,1451,2,2,2,3,1,24,5,4,5,5,5,5
53,4096,0,0.435,0.049,360,383,30,1,1453,2,2,2,6,1,24,5,3,5,5,5,4
142,1024,0,0.308,0.055,360,235,30,1,1454,5,1,0,5,1,36,5,5,5,3,3,4
92,2048,0,0.449,0.047,360,554,25,1,1454,5,1,0,4,1,25,5,4,5,3,4,4
151,1024,0,0.3,0.039,360,94,12,2,1455,5,1,0,5,1,33,5,5,5,3,3,3
130,1536,0,0.436,0.046,360,336,24,2,1462,2,1,0,5,1,29,5,3,5,5,5,5
19,2048,0,0.497,0.045,360,413,30,1,1466,4,1,0,3,1,27,5,5,5,5,4,5
64,2048,0,0.415,0.054,360,631,25,1,1469,3,1,0,4,1,26,5,4,5,4,4,4
31,2048,0,0.477,0.057,360,398,30,1,1471,5,1,0,2,1,25,5,3,5,4,4,4
64,1024,0,0.323,0.037,360,392,30,2,1471,5,1,0,2,1,26,5,4,3,3,4,4
102,2048,0,0.292,0.037,360,473,25,2,1475,2,1,0,5,1,19,5,4,5,4,4,4
50,2048,0,0.481,0.041,360,726,25,1,1477,2,1,0,4,1,25,5,4,5,4,4,4
144,1024,0,0.482,0.082,360,166,30,1,1479,5,1,0,4,1,41,5,5,5,3,3,4
25,1024,0,0.305,0.047,360,737,25,1,1482,5,1,0,2,0,28,5,3,5,4,4,4
46,1536,0,0.371,0.08,360,412,30,1,1485,5,1,0,2,1,25,5,4,5,4,4,4
134,1536,0,0.494,0.067,360,482,25,1,1492,4,1,0,5,1,26,5,5,5,5,5,5
25,2048,0,0.487,0.062,360,564,25,1,1495,5,1,0,2,1,28,5,3,5,4,2,4
38,2048,0,0.326,0.061,360,578,30,1,1495,5,1,0,2,0,19,5,4,5,5,5,5
139,2048,0,0.328,0.039,360,235,30,2,1496,4,1,0,5,1,39,5,5,5,3,4,3
153,2048,0,0.379,0.073,360,737,30,1,1496,5,1,0,2,0,38,4,4,5,3,4,4
21,2048,0,0.307,0.049,360,579,30,1,1505,2,1,0,6,0,27,5,2,5,5,5,5
144,2048,0,0.421,0.058,360,294,25,1,1505,5,1,0,8,1,41,5,5,5,3,4,3
10,2048,0,0.399,0.07,360,666,25,2,1507,5,1,0,2,0,25,5,3,4,4,4,4
68,2048,0,0.427,0.046,360,623,25,1,1517,5,1,0,2,1,25,5,4,3,4,4,3
138,2048,0,0.328,0.036,360,221,24,1,1519,5,1,0,3,1,26,5,5,5,4,5,5
17,1536,0,0.436,0.046,360,630,25,1,1521,2,1,0,6,1,39,5,3,5,3,4,4
143,2048,0,0.33,0.052,360,899,30,1,1521,5,1,0,7,1,47,5,5,5,5,5,5
